type,omschrijving
BEVBKAZ03307006,DE BLIKKEN|K1333|9130|VERREBROEK|Pakhuis|
BEVBKB2544001,KAAIEN EN AFDAKEN||9130|VERREBROEK (BEVEREN)|Pakhuis|Publiek Douane-entrepot type B
BEVBKE2248021,AET-TERMINAL|KAAI 1333|9130|VERREBROEK|Pakhuis|
BEVBOP0965001,LUCIMED|RUE LE MARAIS 12|4530|VILLERS-LE-BOUILLET|Pakhuis|
BEVBOP2013001,"NUTRIPROF SPRL|16, RUE DE LA MÉTALLURGIE|4530|VILLERS-LE-BOUILLET|Pakhuis|"
BEVBOP2931001,"YENIBIZ|RUE DE L'ENTREPRISE, 4|4530|VILLERS-LE-BOUILLET|Pakhuis|"
BEVELHP00539001,LODEWIJCKX NV|EINDHOUTSEWEG 32|2431|VEERLE|Pakhuis|
BEVELHP00604001,I.C.B. NV|ROOSTSTRAAT 5|2431|VEERLE|Pakhuis|
BEVER,VERVIERS||||Zeehaven|
BEVER001,ECS VERVIERS||||Locatie in zeehaven|Aanlegplaats
BEVERE0112001,E-0112-A|PARC INDUSTRIEL DU PETIT-RECHAIN|4800|VERVIERS|Pakhuis|Particulier Douane-entrepot type E
BEVERF0000001,ENTREPOT TYPE F||||Pakhuis|Publiek Douane-entrepot type A
BEVERLP00127004,EYNATTEN SERVICE|STERIGENICS BELGIUM SA|4800|VERVIERS|Pakhuis|
BEVERLP01991001,AE VALVES|RUE DE GELÉE 20|4800|VERVIERS|Pakhuis|
BEVERLU00112001,BRUNSWICK MARINE IN EMEA INC|PARC INDUSTRIEL DE PETIT-RECHAIN|4800|VERVIERS|Pakhuis|
BEVERLU007880001,"SOCIETE ANONYME DE TRAITEMENTS TEXTILES (TRAITEX)|RUE DE LIMBOURG, 145|4800|VERVIERS|Pakhuis|"
BEVERLZ01857009,E.S. STERIGENICS BELGIUM-VERVIERS|AVENUE ANDRÉ ERNST 21|4800|VERVIERS|Pakhuis|
BEVERP1981001,STERIGENICS|AVENUE ANDRÉ ERNST 21|4800|VERVIERS|Pakhuis|
BEVERVP000068001,||||Pakhuis|Particulier Douane-entrepot type C
BEVERZ3006001,"TRAITEX|145, RUE DE LIMBOURG|4800|VERVIERS|Pakhuis|"
BEVEUB1486001,B-1486-B|NIJVERHEIDSSTRAAT 1-2|8630|VEURNE|Pakhuis|Publiek Douane-entrepot type B
BEVEUCA00098001,BARONIE BELGIUM NV||8630|VERUEN|Pakhuis|
BEVEUD1332001,MELI NV|HANDELSSTRAAT 13|8630|VEURNE|Pakhuis|Particulier Douane-entrepot type D
BEVEUD1717001,D-1717-B|HANDELSSTRAAT 13|8630|VEURNE|Pakhuis|Particulier Douane-entrepot type D
BEVEUGA00007001,MELI||8630|VEURNE|Pakhuis|
BEVEUGA09989001,MELI NV||8630|VEURNE|Pakhuis|
BEVEUGP00130001,DE BEAUVOORDER PATÉ||8630|VEURNE|Pakhuis|
BEVEUGP00141001,DUCO PROJECTS||8630|VEURNE|Pakhuis|
BEVEUGP00143001,VERO DUCO N.V.|HANDELSSTRAAT 19|8630|VEURNE|Pakhuis|
BEVEUGP00158001,CÉRÉLIA BELGIUM NV||8630|VEURNE|Pakhuis|
BEVEUGP00442001,NOVIDON NV||8630|VEURNE|Pakhuis|
BEVEUGP00499001,BULMAC NV||8630|VEURNE|Pakhuis|
BEVEUGP00657001,TERBEKE-PLUMA NV||8630|VEURNE|Pakhuis|
BEVEUGP00702001,NOBLE CHOCOLATES NV|HANDELSSTRAAT 5|8630|VEURNE|Pakhuis|
BEVEUGP00707002,BARONIE BELGIUM NV||8630|VEURNE|Pakhuis|
BEVEUGP00792001,VEURNE SNACK FOODS BVBA||8630|VEURNE|Pakhuis|
BEVEUGP00806001,MELI NV||8630|VEURNE|Pakhuis|
BEVEUGU00156001,BULMAC NV||8630|VEURNE|Pakhuis|
BEVEUGU00167001,MELI NV||8630|VEURNE|Pakhuis|
BEVEUGZ01199001,BULMAC NV||8630|VEURNE|Pakhuis|
BEVEUGZ2269001,MELI NV||8630|VEURNE|Pakhuis|
BEVEUVP001199001,||||Pakhuis|Particulier Douane-entrepot type C
BEVEUVP001199002,||||Pakhuis|Particulier Douane-entrepot type C
BEVEUVP002269001,||||Pakhuis|Particulier Douane-entrepot type C
BEVEUZ2269001,MELI NV||8630|VEURNE|Pakhuis|
BEVEUZ2546001,SWEET PRODUCTS||8630|VEURNE|Pakhuis|
BEVGAMP1900279001,"CAREA SPRL|CHAUSSEE DE BRUXELLES ,26|1472|VIEUX GENAPPE|Pakhuis|"
BEVGWBU00012002,SAADE TRADING & FORWARDING (SAADE SOUHEIL)|CHAUSSÉE DE MONS 69|1600|SINT PIETERS LEEUW|Pakhuis|
BEVGWBU00024002,JALEC|CHAUSSÉE DE MONS 69|1600|SINT PIETERS LEEUW|Pakhuis|
BEVGZGP00459001,DEGROOTE TRUCKS & TRAILERS NV||8750|ZWEVEZELE|Pakhuis|
BEVGZGU00040001,DE GROOTE TRUCKS & TRAILERS NV||8750|ZWEVEZELE|Pakhuis|
BEVGZP00099001,VEOS N.V.||8750|ZWEVEZELE|Pakhuis|
BEVICCA00075001,BSI EXPERT BVBA||8570|ANZEGEM|Pakhuis|
BEVICCA00075002,BIO SERVICES INTERNATIONAL||8570|VICHTE|Pakhuis|
BEVICD1345001,D-1345-B|MAGAZIJN  - MEKEIRLEWEG 17|8570|VICHTE|Pakhuis|Particulier Douane-entrepot type D
BEVICD3313001,D-3313-B|P. BENOITSTRAAT 12|8570|VICHTE|Pakhuis|Particulier Douane-entrepot type D
BEVICE3417001,DIBELLA BVBA||8570|VICHTE|Pakhuis|Particulier Douane-entrepot type E
BEVICGP00190001,VROMAN N.V.||8570|ANZEGEM|Pakhuis|
BEVICGP00649001,ICKX VERKOOP NV|PRALIBEL|8570|VICHTE|Pakhuis|
BEVICP00003001,WEVERIJ VAN DEN BROUCKE|VICHTEPLAATS 64|8570|ANZEGEM|Pakhuis|
BEVICP00003002,WEVERIJ VAN DEN BROUCKE|OUDENAARDSESTRAAT 84|8570|ANZEGEM VICHTE|Pakhuis|
BEVICP00106001,SLOTS N.V.|OLEKENBOSSTRAAT 27|8570|VICHTE|Pakhuis|
BEVIL,VILVOORDE||||Zeehaven|
BEVIL001,ECS VILVOORDE||||Locatie in zeehaven|Aanlegplaats
BEVILAU00076002,SUMITOMO WAREHOUSE||1800|VILVOORDE|Pakhuis|
BEVILAZ02908003,SUMITOMO WAREHOUSE||1800|VILVOORDE|Pakhuis|
BEVILB1726001,B-1726-B|HOUTEMSESTEENWEG 20|1800|VILVOORDE|Pakhuis|Publiek Douane-entrepot type B
BEVILB1846001,B-1846-B|ERASMUSLAAN 40|1800|VILVOORDE|Pakhuis|Publiek Douane-entrepot type B
BEVILB1865001,B-1865-B|COCKERIESTRAAT Z/N|1800|VILVOORDE|Pakhuis|Publiek Douane-entrepot type B
BEVILB1889001,B-1889-B|HAVENDOKLAAN 16|1800|VILVOORDE|Pakhuis|Publiek Douane-entrepot type B
BEVILD0274001,D-0274-A|HARENSESTEENWEG 353|1800|VILVOORDE|Pakhuis|Particulier Douane-entrepot type D
BEVILD1833002,D-1833-B|MECHELSESTEENWEG 584|1800|VILVOORDE|Pakhuis|Particulier Douane-entrepot type D
BEVILD1840003,D-1840-B|WILLEM ELSCHOTSTRAAT 5|1800|VILVOORDE|Pakhuis|Particulier Douane-entrepot type D
BEVILD1881001,MINISTERIE VAN DEFENSIE|MARTELARENSTRAAT 181|1800|PEUTIE|Pakhuis|Particulier Douane-entrepot type D
BEVILD2010001,D-2010-B|STEENSTRAAT 20 BUS 2|1800|VILVOORDE|Pakhuis|Particulier Douane-entrepot type D
BEVILF0000001,ENTREPOT TYPE F||||Pakhuis|Publiek Douane-entrepot type A
BEVILGVC001,GVC VILVOORDE||||D&A locatie|Verificatiebureeel
BEVILP00016001,MINISTERIE LANDSVERDEDIGING|MARTELARENSTRAAT 181|1800|VILVOORDE|Pakhuis|
BEVILP0617001,VAN MOER STEVEDORING||1800|VILVOORDE|Pakhuis|
BEVILP0627001,A.L.S. C/O PROLOGIS||1800|VILVOORDE|Pakhuis|
BEVILP0627002,LOGISTICS SERVICES VILVOORDE|C/O PROLOGIS|1800|VILVOORDE|Pakhuis|
BEVILP0644001,D'IETEREN LEASE USED CARS REMARKETING||1830|VILVOORDE|Pakhuis|
BEVILP0647001,INTERTRANS||1800|VILVOORDE|Pakhuis|
BEVILP0664001,FENZI||1800|VILVOORDE|Pakhuis|
BEVILP1617001,DENY CARGO|WILLEM ELSCHOTSSTRAAT 5|1800|VILVOORDE|Pakhuis|
BEVILP1623001,VAN MOER STEVEDORING|HAVENDOKLAAN 16 - HAVEN C120|1800|VILVOORE|Pakhuis|
BEVILVP000256001,||||Pakhuis|Particulier Douane-entrepot type C
BEVILVP00032002,"LUFTHANSA TECHNIK BRUSSELS, ENGINE SHOP|HELLESTRAAT 89|1800|VILVOORDE|Pakhuis|"
BEVILVP00050001,D'IETEREN LEASE USED CARS REMARKETING|SCHAARBEEKLEI 245|1800|VILVOORDE|Pakhuis|
BEVILVP00060001,FENZI BELGIUM|GUSTAAF LEVISSTRAAT 25|1800|VILVOORDE|Pakhuis|
BEVILVP00064001,SUMITOMO WAREHOUSE|DIEGEMSTRAAT 9|1800|VILVOORDE|Pakhuis|
BEVILVP001009001,||||Pakhuis|Particulier Douane-entrepot type C
BEVILVP00102001,TESSENDERLO GROUP|MARIUS DUCHESTRAAT 260|1800|VILVOORDE|Pakhuis|
BEVILVP00108001,CORNEEL GEERTS TRANSPORTGROUP|WILLEM ELSSCHOTSTRAAT 1|1800|VILVOORDE|Pakhuis|
BEVILVP00118001,DENY CARGO|WILLEM ELSCHOTSSTRAAT 5|1800|VILVOORDE|Pakhuis|
BEVILVP001358001,||||Pakhuis|Particulier Douane-entrepot type C
BEVILVP00136001,KOMATSU EUROPE INTERNATIONAL|MECHELSESTEENWEG 586|1800|VILVOORDE|Pakhuis|
BEVILVP00136002,KOMATSU EUROPE INTERNATIONAL|MECHELSESTEENWEG 584|1800|VILVOORDE|Pakhuis|
BEVILVP00148001,MAGAZIJN EUROSUD-INTERTRANS|HAVENDOKLAAN 10|1800|VILVOORDE|Pakhuis|
BEVILVP00154001,VM BUILDING SOLUTIONS|HAVENDOKLAAN 12 B|1800|VILVOORDE|Pakhuis|
BEVILVP002035001,||||Pakhuis|Particulier Douane-entrepot type C
BEVILVS00036001,INTERTRANS DE VILVOORDE|HAVENDOKLAAN 10|1830|VILVOORDE|Pakhuis|
BEVILVS00052002,DHL GLOBAL FORWARDING BUDASTEENWEG|BUDASTEENWEG 16|1830|MACHELEN|Pakhuis|
BEVILVU00014001,MINISTERIE VAN DEFENSIE|KWARTIER MAJOOR HOUSIAU|1800|PEUTIE|Pakhuis|
BEVILVU0004001,DENY CARGO|WILLEM ELSCHOTSTRAAT 5|1800|VILVOORDE|Pakhuis|
BEVILVU00050001,KOMATSU|MECHELSESTEENWEG 586|1800|VILVOORDE|Pakhuis|
BEVILVU00050002,KOMATSU 2|MECHELSESTEENWEG 584|1800|VILVOORDE|Pakhuis|
BEVILVV00063002,DHL GLOBAL FORWARDING BUDASTEENWEG|BUDASTEENWEG 16|1830|MACHELEN|Pakhuis|
BEVILVZ02035001,KOMATSU EUROPE INTERNATIONAL||1800|VILVOORDE|Pakhuis|
BEVILVZ03088001,DENY CARGO|WILLEM ELSSCHOTSTRAAT 5|1800|VILVOORDE|Pakhuis|
BEVIRLP02970001,BURGO ARDENNES SA|EXPEDITION PAPIER|6760|VIRTON|Pakhuis|
BEVIRZ2138001,"BURGO ARDENNES S.A.|RUE DE LA PAPETERIE, S/N|6760|VIRTON|Pakhuis|"
BEVISP0951001,KNAUF|RUE DE MAESTRICHT 95|4600|VISÉ|Pakhuis|
BEVISP1994001,"ECDC LOGISTICS|106, RUE DE MAASTRICHT|4600|VISÉ|Pakhuis|"
BEVISZ2655001,"MELVIN'S FRUIT  SPRL|ROUTE DE MAESTRICHT, N° 100|4600|VISÉ|Pakhuis|"
BEVITLP05002001,ADOLF MERSCH UND CO|METZ 21|4780|SANKT VITH|Pakhuis|
BEVITLP05007001,MECONDOR AG|PRÜMER STRAßE 19|4780|SANKT VITH|Pakhuis|
BEVITLP05010001,PAULS-ST.VITH AG|WIESENBACHSTRASSE 42|4780|SANKT VITH|Pakhuis|
BEVITLP05018001,AQUA COOLKEEPER PGMBH|STEINERBERG 7|4780|SANKT VITH|Pakhuis|
BEVITLP05019001,ANIMAL GEAR EUROPE PGMBH|STEINERBERG 7|4780|SANKT VITH|Pakhuis|
BEVITLP05024001,LIGNA-PARTS AG|MERCATORSTRASSE 16|4780|SANKT VITH|Pakhuis|
BEVITLP05025001,FARBWERKE HEKULA AG|FRIEDENSSTRASSE 21|4780|SANKT VITH|Pakhuis|
BEVITLP05033001,MEURER ROOFLAND|TALSTRASSE 14|4780|SANKT VITH|Pakhuis|
BEVITLP05036001,PURATOS ST.VITH|PRÜMER STRAßE 51|4780|SANKT VITH|Pakhuis|
BEVITLP05043001,SMI AG|STEINERBERG 8|4780|SANKT VITH|Pakhuis|
BEVITLP05046001,"STELLMANN BAUMASCHINEN AG|MOLKEREIWEG, NEUNDORF 11|4780|SANKT-VITH|Pakhuis|"
BEVIVP2010001,"PMSWEET SPRL|43, RUE CÉSAR DE PAEPE|4683|VIVEGNIS|Pakhuis|"
BEVIVZ2796018,ARCELORMITTAL|PONT DE WANDRE|4683|VIVEGNIS|Pakhuis|
BEVLEP00090001,WINDERICKX TIM||8640|VLETEREN|Pakhuis|
BEVLL46237N01,DEWO EUROPE NV|STEENSTRAAT 16|1570|VOLLEZELE (GALMAARDEN)|Pakhuis|
BEVLLVU00066001,DEWO EUROPE|STEENSTRAAT 16|1570|VOLLEZELE|Pakhuis|
BEVLLVZ03089001,DEWO- EUROPE NV|STEENSTRAAT 16|1570|VOLLEZELE|Pakhuis|
BEVLLZ3089001,DEWO EUROPE NV|STEENSTRAAT 16|1570|VOLLEZELE|Pakhuis|
BEVLXE0635006,SODEMAF|PORT DE VAULX|7536|VAULX|Pakhuis|
BEVLXMP2000306002,"SODEMAF|RUE DU CANON,14|7536|VAULX|Pakhuis|"
BEVLXMU00037006,"SODEMAF|RUE DU CANON, 17|7536|VAULX|Pakhuis|"
BEVLXZ0919006,SODEMAF|RUE DU CANON 14|7536|VAULX|Pakhuis|
BEVMIGP00382002,VERDUYN NV||8908|VLAMERTINGE|Pakhuis|
BEVMOHP00166001,APPELTANS BOOMTEELT BVBA|HELSTRAAT 20A|3721|KORTESSEM|Pakhuis|
BEVMTP1983001,"D&C CHEMICALS|13, RUE AU TIGE DE VILLERS|4520|VINALMONT|Pakhuis|"
BEVMTP2018001,"AVIETA S.A.|36, RUE DE VILLERS|4520|VINALMONT|Pakhuis|"
BEVORP0623001,UNILEVER LIPTON TEA||1190|BRUSSEL (VORST)|Pakhuis|
BEVOSBA00001001,AUDI BRUSSELS|BRITS TWEEDE LEGERLAAN 201|1190|VORST|Pakhuis|
BEVOSBP00026001,AUDI BRUSSELS|BRITS TWEEDE LEGERLAAN 201|1190|VORST|Pakhuis|
BEVOSBU00009001,"BELGOCAMP|RUE DE LUSAMBO, 40-52|1190|FOREST|Pakhuis|"
BEVOSD0216001,D-0216-A|RUE DE LUSAMBO 40-52|1190|FOREST|Pakhuis|Particulier Douane-entrepot type D
BEVOSVP001697001,||||Pakhuis|Particulier Douane-entrepot type C
BEVOSVP001964001,||||Pakhuis|Particulier Douane-entrepot type C
BEVSCP0948001,MAGOTTEAUX SA|RUE PRÉS DE LA TOUR|4051|VAUX SOUS CHÈVREMONT|Pakhuis|
BEVSMLP02962001,UNILIN - MAGASIN BALTERIO|RUE DE LA FORÊT 2|6690|VIELSALM|Pakhuis|
BEVSMLP02962002,UNILIN - MAGASIN PANELS|RUE DE LA FORÊT 2|6690|VIELSALM|Pakhuis|
BEVSMP2933001,"BEL BOS TRADING BVBA|2, RUE DE LA FORÊT|6690|VIELSALM|Pakhuis|"
BEVSMZ2042006,UNILIN||6690|VIELSALM|Pakhuis|
BEVSMZ2401001,SPANOLUX S.A.|ZONE INDUSTRIELLE DE BURTONVILLE|6690|VIELSALM|Pakhuis|
BEVSNGP00387001,B.F.V.CVBA||9120|VRASENE|Pakhuis|
BEVSNP00078001,HAMLET NV|KERKSTRAAT 77|9120|VRASENE|Pakhuis|
BEVSNP00079001,HAMLET INTERNATIONAL NV|KERKSTRAAT 77|9120|VRASENE|Pakhuis|
BEVWZP2581001,WIENERBERGER NV|2° CARABINIERSLAAN 145|3620|VELDWEZELT (LANAKEN)|Pakhuis|
BEVZBP0629001,NEUHAUS||1602|VLEZENBEEK|Pakhuis|
BEVZBVP00090001,NEUHAUS|POSTWEG 2|1602|VLEZENBEEK|Pakhuis|
BEVZBVP00167001,BROUWERIJ LINEMANS|LENNIKSEBAAN 1479|1602|VLEZENBEEK|Pakhuis|
BEVZBVP001875001,||||Pakhuis|Particulier Douane-entrepot type C
BEVZBVP002012001,||||Pakhuis|Particulier Douane-entrepot type C
BEWABD0269001,D-0269-A|PARC INDUSTRIEL 19|1440|WAUTHIER-BRAINE|Pakhuis|Particulier Douane-entrepot type D
BEWABVP001733001,||||Pakhuis|Particulier Douane-entrepot type C
BEWAHMP1900212002,"EUROLER S A|RUE DU GRATY,1B|7830|HOVES|Pakhuis|"
BEWAL3005001,VRH    SPRL|DREVE RICHELLE 161 IMI BTE 36|1410|WATERLOO|Pakhuis|
BEWAL3011001,"CASPIAN TRADITION|AVENUE DES PAQUERETTES ,55BTE 36-37|1410|WATERLOO|Pakhuis|"
BEWAL4463901,CASPIAN TRADITION|AVENUE DES PAQUERETTES 55 BTE 40|1410|WATERLOO|Pakhuis|
BEWALD0244002,D-0244-B|AV DES PAQUERETTES 36|1410|WATERLOO|Pakhuis|Particulier Douane-entrepot type D
BEWALE0177001,E-0177-A|CH DE TERVUREN 198 A|1410|WATERLOO|Pakhuis|Particulier Douane-entrepot type E
BEWALE0643001,"VRH|DRÈVE RICHELLE, 161|1410 WATE||Pakhuis|"
BEWALMU00015001,VAN RIET HORLOGERIE|BECWPM00015|1410|WATERLOO|Pakhuis|
BEWALMU00023001,CASPIAN TRADITION|AV. DES PAQUERETTES 55 BTE 36-37|1410|WATERLOO|Pakhuis|
BEWALP0723001,CASPIAN TRADITION SA|AVENUE DES PÂQUERETTES 55|1410|WATERLOO|Pakhuis|
BEWALZ3191001,"CASPIAN TRADITION SA|AVENUE DES PÂQUERETTES 55 BTE36,37|1410|WATERLOO|Pakhuis|"
BEWANLP02972001,TERBEKE WANZE|CHAUSSÉE DE WAVRE 259 A|4520|WANZE|Pakhuis|
BEWARCA00065001,MC THREE NV|MANNEBEEKSTRAAT 6|8790|WAREGEM|Pakhuis|
BEWARD1156001,D-1156-B|INDUSTRIELAAN 5|8790|WAREGEM|Pakhuis|Particulier Douane-entrepot type D
BEWARD1382001,D-1382-B|TEXTIELWEG 20|8790|WAREGEM|Pakhuis|Particulier Douane-entrepot type D
BEWARD1438001,D-1438-B|DEERLIJKSEWEG 22|8790|WAREGEM|Pakhuis|Particulier Douane-entrepot type D
BEWARD1442001,D-1442-B|TEXTIELSTRAAT 19|8790|WAREGEM|Pakhuis|Particulier Douane-entrepot type D
BEWARD1497001,D-1497-B|TEXTIELSTRAAT 20|8790|WAREGEM|Pakhuis|Particulier Douane-entrepot type D
BEWARGP00131001,ALLFROST NV||8790|WAREGEM|Pakhuis|
BEWARGP00132001,ALPHADENT NV||8790|WAREGEM|Pakhuis|
BEWARGP00152001,FIRMA VAN DAMME NV||8790|WAREGEM|Pakhuis|
BEWARGP00203002,MERCURYFLOORING NV||8790|WAREGEM|Pakhuis|
BEWARGP00240001,ANDRE COTTENIE BVBA||8790|WAREGEM|Pakhuis|
BEWARGP00257001,EURAQUA-EUROPE NV||8790|WAREGEM|Pakhuis|
BEWARGP00258001,ALFA TAPIJTFABRIEK NV||8790|WAREGEM|Pakhuis|
BEWARGP00263001,TRISLOT NV||8790|WAREGEM|Pakhuis|
BEWARGP00353001,AUTOHANDEL DE BELS B.V.B.A.||8790|WAREGEM|Pakhuis|
BEWARGP00372002,BEWIMA N.V.||8790|WAREGEM|Pakhuis|
BEWARGP00379001,MC THREE NV||8790|WAREGEM|Pakhuis|
BEWARGP00390001,MATCO NV||8790|WAREGEM|Pakhuis|
BEWARGP00397001,RENSON SUNPROTECTION SCREENS NV||8790|WAREGEM|Pakhuis|
BEWARGP00398001,RENSON VENTILATION NV||8790|WAREGEM|Pakhuis|
BEWARGP00398002,RENSON VENTILATION NV||8790|WAREGEM|Pakhuis|
BEWARGP00401001,VERTIMAC BVBA||8790|WAREGEM|Pakhuis|
BEWARGP00418001,PETERSIME N.V.|DEMATRA STOCKAGE WAREGEM|8790|WAREGEM|Pakhuis|
BEWARGP00441001,DELETEX NV||8790|WAREGEM|Pakhuis|
BEWARGP00574001,TVH PARTS NV||8790|WAREGEM|Pakhuis|
BEWARGP00574002,TVH PARTS NV||8790|WAREGEM|Pakhuis|
BEWARGP00574003,TVH PARTS NV||8790|WAREGEM|Pakhuis|
BEWARGP00579001,DL CHEMICALS DETAELLENAERE-LOOSVELT NV||8793|WAREGEM|Pakhuis|
BEWARGP00662001,A.G.TEX UPHOLSTERY AND DRAPERY FABRIX N.V.||8790|WAREGEM|Pakhuis|
BEWARGP00699001,CONCORDIA TEXTILES NV|KALKHOEVESTRAAT POORT 21|8790|WAREGEM|Pakhuis|
BEWARGP00716001,MACHINERY RESALE BVBA||8790|WAREGEM|Pakhuis|
BEWARGP00730001,FLANDERS SURPLUS NV||8790|WAREGEM|Pakhuis|
BEWARGP00749001,TVH EQUIPMENT||8790|WAREGEM|Pakhuis|
BEWARGP00749002,TVH EQUIPMENT||8790|WAREGEM|Pakhuis|
BEWARGP00777001,WILLY DE NOLF||8790|WAREGEM|Pakhuis|
BEWARGP00777002,WILLY DE NOLF||8790|WAREGEM|Pakhuis|
BEWARGP00784001,MOBITRADE||8791|WAREGEM|Pakhuis|
BEWARGP00842001,IPB NV|POORT 3|8790|WAREGEM|Pakhuis|
BEWARGU00093001,TVH PARTS NV||8790|WAREGEM|Pakhuis|
BEWARGU00093002,TVH PARTS NV||8790|WAREGEM|Pakhuis|
BEWARGU00140001,MACHINERY RESALE BVBA||8790|WAREGEM|Pakhuis|
BEWARP00002001,GALANA NV|VICHTSEWEG 109|8790|WAREGEM|Pakhuis|
BEWARP00085001,RAGOLLE RUGS NV|MAALBEEKSTRAAT 1|8790|WAREGEM|Pakhuis|
BEWARP0538001,WILLY DE NOLF BVBA||8790|WAREGEM|Pakhuis|
BEWARP0538002,WILLY DE NOLF BVBA||8790|WAREGEM|Pakhuis|
BEWARP1468001,MC THREE CARPETS NV||8790|WAREGEM|Pakhuis|
BEWARVP000342001,||||Pakhuis|Particulier Douane-entrepot type C
BEWARVP000700001,||||Pakhuis|Particulier Douane-entrepot type C
BEWARVP000946001,||||Pakhuis|Particulier Douane-entrepot type C
BEWARVP001826001,||||Pakhuis|Particulier Douane-entrepot type C
BEWARVP002091001,||||Pakhuis|Particulier Douane-entrepot type C
BEWARVP002091002,||||Pakhuis|Particulier Douane-entrepot type C
BEWARVP002129001,||||Pakhuis|Particulier Douane-entrepot type C
BEWARVP002440001,||||Pakhuis|Particulier Douane-entrepot type C
BEWARZ1826002,RAGOTEX||8790|WAREGEM|Pakhuis|
BEWAYD0058001,D-0058-A|CH DE BRUXELLES 14|1474|GENAPPE (WAYS)|Pakhuis|Particulier Douane-entrepot type D
BEWAYD0249001,D-0249-A|CH DE BRUXELLES 14|1474|GENAPPE (WAYS)|Pakhuis|Particulier Douane-entrepot type D
BEWAYVP001154001,||||Pakhuis|Particulier Douane-entrepot type C
BEWBECA00040001,A.N.S. TRADING B.V.B.A.||9185|WACHTEBEKE|Pakhuis|
BEWBEGP00302001,A.N.S. TRADING BVBA||9185|WACHTEBEKE|Pakhuis|
BEWBEGS00010001,CROSSPORT||9185|WACHTEBEKE|Pakhuis|
BEWBEP00041001,CROSSPORT|GEBROEDERS NAUDTSLAAN|9185|WACHTEBEKE|Pakhuis|
BEWCEE1614001,E-1614-B|TREMELOBAAN 34|3118|WERCHTER|Pakhuis|Particulier Douane-entrepot type E
BEWCGD0557001,D-0557-A|RUE DU ZONING 10|7740|WARCOING|Pakhuis|Particulier Douane-entrepot type D
BEWCGMP1900198001,"PROVITAL INDUSTRIE|ROUTE FLUVIALE ,10|7740|WARCOING|Pakhuis|"
BEWCGMP1900198002,WARCOING INDUSTRIE|QUAI INULINE & EXPEDITION LIQUIDE|7740|WARCOING|Pakhuis|
BEWCGMP1900198003,CHICOLINE|RUE DE LA SUCRERIE 2|7740|WARCOING|Pakhuis|
BEWCGMP1900198004,"SOCODE|RUE DE LA SUCRERIE,1|7740|WARCOING|Pakhuis|"
BEWCGVP001946001,||||Pakhuis|Particulier Douane-entrepot type C
BEWCGVP001986001,||||Pakhuis|Particulier Douane-entrepot type C
BEWCGVP002164001,||||Pakhuis|Particulier Douane-entrepot type C
BEWCOMP00178001,"ENTREPOT WALCOURT|RUE DE LA MARBRERIE ,2|5650|WALCOURT|Pakhuis|"
BEWDED239001,D-0239-A|RUE DE LA PRINCESSE 64|7131|WAUDREZ|Pakhuis|Particulier Douane-entrepot type D
BEWDGB1015001,B-1015-B|INDUSTRIEWEG 66|9032|GENT(WONDELGEM)|Pakhuis|Publiek Douane-entrepot type B
BEWDGB3327001,B-3327-B|MAGAZIJN|9032|WONDELGEM|Pakhuis|Publiek Douane-entrepot type B
BEWDGGP00221001,LAROY GROUP N.V.|INDUSTRIEWEG 98|9032|WONDELGEM|Pakhuis|
BEWDGGP00328001,DISTEEL NV||9032|WONDELGEM|Pakhuis|
BEWDGGP00331001,ELECTRICAL INSTALLATIONWORKS VERSTRAETE B.V.B.A.|INDUSTRIEWEG 122 / J1|9032|WONDELGEM|Pakhuis|
BEWDGGP00504001,TRANSUNIVERSE FORWARDING NV||9032|WONDELGEM|Pakhuis|
BEWDGGS00054001,TRANSUNIVERSE FORWARDING NV||9032|GENT|Pakhuis|
BEWDGGV00012001,TRANSUNIVERSE FORWARDING NV||9032|WONDELGEM|Pakhuis|
BEWDGGZ00024001,TRANSUNIVERSE FORWARDING NV||9032|WONDELGEM|Pakhuis|
BEWDNHP00443001,MILLET-SPIRITUS|LEEUWENWEG Z/N|3803|WILDEREN|Pakhuis|
BEWEDHP00162001,WILKI NV|NIJVERHEIDSSTRAAT 28|2381|WEELDE (RAVELS)|Pakhuis|
BEWEDHP00310002,VAN DE POL NIJVERHEIDSSTRAAT|NIJVERHEIDSSTRAAT 22|2381|WEELDE (RAVELS)|Pakhuis|
BEWEDHP00310003,VAN DE POL ELZENSTRAAT|ELZENSTRAAT 54|2381|WEELDE (RAVELS)|Pakhuis|
BEWEDHP00484001,VAN GILS DISTRIBUTIE NV|ELZENSTRAAT 53|2381|WEELDE|Pakhuis|
BEWEDHU00126003,JANSSEN PHARMACEUTICA (VAN DE POL)|ELZENSTRAAT 54|2281|WEELDE|Pakhuis|
BEWEDHZ00110003,VAN DE POL|ELZENSTRAAT 45|2381|RAVENS-WEELDE|Pakhuis|
BEWEDHZ00110004,VAN DE POL|ELZENSTRAAT 45|2381|RAVENS-WEELDE|Pakhuis|
BEWEDHZ02465006,VAN DE POL N.V.|NIJVERHEIDSSTRAAT 22|2381|WEELDE STATIE|Pakhuis|
BEWEDHZ02465008,ILS (BIJ TRANSPORT MARTENS)|TIEBLOKKEN 2|2300|TURNHOUT|Pakhuis|
BEWEDP00018001,DOVRE NV|NIJVERHEIDSSTRAAT 18|2381|WEELDE|Pakhuis|
