type,omschrijving
BEANBP0908001,"GAUDER  S.A.|RUE DE RÉNORY, N° 475|4031|ANGLEUR|Pakhuis|"
BEANBP0993001,ARCELOR MITTAL|RUE DE RENORY 418|4031|ANGLEUR|Pakhuis|
BEANBP1940001,GAUDER SA|RUE DE RÉNORY 478|4031|ANGLEUR|Pakhuis|
BEANBP1951001,MAGOTTEAUX|RUE DE RENORY 418|4031|ANGLEUR|Pakhuis|
BEANBP1982003,"LIÈGE CONTAINER TERMINAL S.A.|478, RUE DE RENORY|4031|ANGLEUR|Pakhuis|"
BEANBP1993001,"B.E.A. S.A.|12, ALLÉE DES NOISETIERS|4031|ANGLEUR|Pakhuis|"
BEANBVP002065001,||||Pakhuis|Particulier Douane-entrepot type C
BEANBZ0964001,"SNCB|RUE DES DEUX GARES, 80|1070|BRUXELLES|Pakhuis|"
BEANBZ2065001,"SPA MONOPOLE  S.A.|RUE DE RÉNORY, N° 360|4031|ANGLEUR|Pakhuis|"
BEANBZ2413001,"PORTMADE CUSTOMS  S.A.|RUE DE RÉNORY, N° 351|4031|ANGLEUR|Pakhuis|"
BEANBZ2932001,"LIÈGE CONTAINER TERMINAL S.A.|478, RUE DE RENORY|4031|ANGLEUR|Pakhuis|"
BEANC2575031,STRADOK 11|STRADOK 2NV UNIT 2B|2030|ANTWERPEN|Pakhuis|Particulier Douane-entrepot type C
BEAND2887001,PERE OLIVE||5300|ANDENNE|Pakhuis|
BEAND2909001,2.V.D.|RUE DE L’ILE DOSSAI 17 BTE B|5300|ANDENNE|Pakhuis|
BEAND2933001,"LANGE CHRISTIAN S A|RUE DU PROGRES,22|5300|ANDENNE|Pakhuis|"
BEANDMP1900281001,"PURATOS|RUE BOURRIE,12|5300|ANDENNE|Pakhuis|"
BEANDVZ00723004,PURATOS||5600|ANDENNE|Pakhuis|
BEANEAU00188023,PACK-EDGE NV||9960|ASSENEDE|Pakhuis|
BEANED3307001,D-3307-B|STOEPESTRAAT 5 E|9960|ASSENEDE|Pakhuis|Particulier Douane-entrepot type D
BEANEP00010001,ADIENT BELGIUM BVBA||9960|ASSENEDE|Pakhuis|
BEANLB0480001,B-0480-A|BD INDUSTRIEL 14|1070|ANDERLECHT|Pakhuis|Publiek Douane-entrepot type B
BEANLB1632001,B-1632-B|TWEESTATIONSSTRAAT 150|1070|BRUSSEL(ANDERLECHT)|Pakhuis|Publiek Douane-entrepot type B
BEANLB1699001,B-1699-B|AV EUG YSAYE 105|1070|ANDERLECHT|Pakhuis|Publiek Douane-entrepot type B
BEANLB1805001,B-1805-B|AV EUG YSAYE 105|1070|ANDERLECHT|Pakhuis|Publiek Douane-entrepot type B
BEANLBP00001001,"DIPLOMATIC ON TOP|RUE BOLLINCKX, 15 D|1070|ANDERLECHT|Pakhuis|"
BEANLBP00002001,"SOCAR FORWARDING AGENCY|RUE HEYVAERT, 64|1070|ANDERLECHT|Pakhuis|"
BEANLBP00012001,"ABOUZEID SHIPPING|RUE HEYVAERT, 98-102|1070|ANDERLECHT|Pakhuis|"
BEANLBP00020001,VIANGRO|RUE DE LA BIENVENUE 10|1070|ANDERLECHT|Pakhuis|
BEANLBP00036001,PLASTORIA|RUE DU SEL 61|1070|ANDERLECHT|Pakhuis|
BEANLBS00002001,"VERBRUGGEN-SODIVIN|RUE DES VÉTÉRINAIRES 42, D,|1070|ANDERLECHT|Pakhuis|"
BEANLBU00003001,DIPLOMATIC ON TOP|RUE BOLLINCKX 15 D|1070|ANDERLECHT|Pakhuis|
BEANLBU00011001,"SOCAR FORWARDING AGENCY|RUE HEYVAERT, 64|1070|ANDERLECHT|Pakhuis|"
BEANLBU00015001,"ABOUZEID SHIPPING|RUE HEYVAERT, 98-102|1070|ANDERLECHT|Pakhuis|"
BEANLBU00019001,VIANGRO|RUE DE LA BIENVENUE 10|1070|ANDERLECHT|Pakhuis|
BEANLC0243001,C-0243-A|RUE LA BIENVENUE 10|1070|ANDERLECHT|Pakhuis|Particulier Douane-entrepot type C
BEANLC1811001,C-1811-B|CHEE DE NINOVE 643|1070|ANDERLECHT|Pakhuis|Particulier Douane-entrepot type C
BEANLD0254001,D-0254-A|DSV AIR & SEA N.V.|1070|BRUSSEL (ANDERLECHT)|Pakhuis|Particulier Douane-entrepot type D
BEANLD1280001,D-1280-B|TWEE STATIONSSTRAAT 80|1070|BRUSSEL (ANDERLECHT)|Pakhuis|Particulier Douane-entrepot type D
BEANLD1387001,D-1387-B|TWEE STATIONSSTRAAT 80|1070|BRUSSEL (ANDERLECHT)|Pakhuis|Particulier Douane-entrepot type D
BEANLD1608001,D-1608-B|BERGENSESTEENWEG 387|1070|ANDERLECHT|Pakhuis|Particulier Douane-entrepot type D
BEANLD1609001,D-1609-B|BERGENSESTEENWEG 387|1070|BRUSSEL(ANDERLECHT)|Pakhuis|Particulier Douane-entrepot type D
BEANLD1763001,D-1763-B|TARANTELLASTRAAT 5|1070|ANDERLECHT|Pakhuis|Particulier Douane-entrepot type D
BEANLD1763002,D-1763-B|TARANTELLASTRAAT 20|1070|ANDERLECHT|Pakhuis|Particulier Douane-entrepot type D
BEANLD1774001,D-1774-B|BD INDUSTRIEL 22|1070|ANDERLECHT|Pakhuis|Particulier Douane-entrepot type D
BEANLHZ02354003,IKEA ANDERLECHT|BERGENSESTEENWEG 1432|1070|ANDERLECHT|Pakhuis|
BEANLIB01805001,IMB01805|AV EUG YSAYE 105|1070|ANDERLECHT|Pakhuis|BTW-entrepot
BEANLP0702001,NAIL TO NAIL SPRL|AVENUE DE SCHEUT 164|1070|ANDERLECHT|Pakhuis|
BEANLP0715001,BRASSERIE CANTILLON|RUE GHEUDE 56|1070|ANDERLECHT|Pakhuis|
BEANLP0740001,"ETS ANTOINE|RUE DE LA BIENVENUE, 7-9|1070|ANDERLECHT|Pakhuis|"
BEANLVP000533001,||||Pakhuis|Particulier Douane-entrepot type C
BEANLVP001774001,||||Pakhuis|Particulier Douane-entrepot type C
BEANLVP001856001,||||Pakhuis|Particulier Douane-entrepot type C
BEANLVP002354001,||||Pakhuis|Particulier Douane-entrepot type C
BEANLVP002392001,||||Pakhuis|Particulier Douane-entrepot type C
BEANLZ3077001,SOCAR|RUE HEYVAERT 64|1070|ANDERLECHT|Pakhuis|
